iter,wake_time_s,wake_jitter_us,period_us,sensor_us,control_us,actuator_us,total_exec_us,overrun_period,overrun_budget,speed,voltage
89,424429.647022,80,9983,0,0,0,0,0,0,9.501721,9.682003
90,424429.657027,86,10005,0,0,0,0,1,0,9.511032,9.687940
91,424429.667040,99,10013,0,0,0,0,1,0,9.520169,9.693766
92,424429.677050,109,10010,0,0,0,0,1,0,9.529135,9.699485
93,424429.687026,85,9976,0,0,0,0,0,0,9.537933,9.705096
94,424429.697047,106,10020,0,0,0,0,1,0,9.546566,9.710603
95,424429.707029,88,9982,0,0,0,0,0,0,9.555038,9.716008
96,424429.717041,100,10012,0,0,0,0,1,0,9.563352,9.721312
97,424429.727023,82,9982,0,0,0,0,0,0,9.571510,9.726517
98,424429.737026,85,10002,0,0,0,0,1,0,9.579516,9.731625
99,424429.747024,82,9997,0,0,0,0,0,0,9.587372,9.736638
100,424429.757026,85,10002,0,0,0,0,1,0,9.595081,9.741557
101,424429.767027,86,10001,0,0,0,0,1,0,9.602647,9.746384
102,424429.777023,82,9995,0,0,0,0,0,0,9.610070,9.751122
103,424429.787047,106,10024,0,0,0,0,1,0,9.617355,9.755771
104,424429.797032,90,9984,0,0,0,0,0,0,9.624504,9.760333
105,424429.807026,85,9994,0,0,0,0,0,0,9.631520,9.764810
106,424429.817067,126,10040,0,0,0,0,1,0,9.638404,9.769203
107,424429.827030,89,9963,0,0,0,0,0,0,9.645159,9.773515
108,424429.837039,98,10008,0,0,0,0,1,0,9.651789,9.777746
109,424429.847040,99,10001,0,0,0,0,1,0,9.658294,9.781898
110,424429.857027,86,9987,0,0,0,0,0,0,9.664678,9.785972
111,424429.867025,84,9997,0,0,0,0,0,0,9.670943,9.789970
112,424429.877028,87,10003,0,0,0,0,1,0,9.677090,9.793894
113,424429.887023,82,9995,0,0,0,0,0,0,9.683123,9.797744
114,424429.897024,83,10001,0,0,0,0,1,0,9.689043,9.801523
115,424429.907024,83,9999,0,0,0,0,0,0,9.694852,9.805231
116,424429.917028,87,10003,0,0,0,0,1,0,9.700553,9.808869
117,424429.927024,83,9996,0,0,0,0,0,0,9.706147,9.812440
118,424429.937025,84,10000,0,0,0,0,0,0,9.711637,9.815944
119,424429.947023,82,9998,0,0,0,0,0,0,9.717025,9.819382
120,424429.957024,83,10001,0,0,0,0,1,0,9.722311,9.822757
121,424429.967040,99,10015,0,0,0,0,1,0,9.727499,9.826068
122,424429.977027,86,9986,0,0,0,0,0,0,9.732590,9.829317
123,424429.987023,82,9995,0,0,0,0,0,0,9.737586,9.832506
124,424429.997046,104,10022,0,0,0,0,1,0,9.742488,9.835635
125,424430.007030,89,9985,0,0,0,0,0,0,9.747299,9.838706
126,424430.017027,86,9996,0,0,0,0,0,0,9.752020,9.841719
127,424430.027028,87,10001,0,0,0,0,1,0,9.756653,9.844676
128,424430.037043,102,10014,0,0,0,0,1,0,9.761199,9.847578
129,424430.047021,80,9978,0,0,0,0,0,0,9.765660,9.850425
130,424430.057020,79,9999,0,0,0,0,0,0,9.770038,9.853220
131,424430.067028,87,10008,0,0,0,0,1,0,9.774335,9.855962
132,424430.077024,83,9995,0,0,0,0,0,0,9.778550,9.858653
133,424430.087024,83,10000,0,0,0,0,0,0,9.782688,9.861293
134,424430.097027,86,10002,0,0,0,0,1,0,9.786747,9.863885
135,424430.107026,85,9998,0,0,0,0,0,0,9.790731,9.866428
136,424430.117024,83,9998,0,0,0,0,0,0,9.794641,9.868923
137,424430.127070,129,10045,0,0,0,0,1,0,9.798478,9.871372
138,424430.137024,83,9954,0,0,0,0,0,0,9.802242,9.873775
139,424430.147025,84,10001,0,0,0,0,1,0,9.805937,9.876133
140,424430.157025,84,9999,0,0,0,0,0,0,9.809562,9.878447
141,424430.167041,100,10015,0,0,0,0,1,0,9.813120,9.880718
142,424430.177032,91,9990,0,0,0,0,0,0,9.816612,9.882946
143,424430.187025,84,9993,0,0,0,0,0,0,9.820038,9.885133
144,424430.197029,87,10003,0,0,0,0,1,0,9.823400,9.887279
145,424430.207036,95,10007,0,0,0,0,1,0,9.826699,9.889385
146,424430.217023,82,9986,0,0,0,0,0,0,9.829937,9.891452
147,424430.227025,84,10001,0,0,0,0,1,0,9.833114,9.893479
148,424430.237039,98,10013,0,0,0,0,1,0,9.836232,9.895469
149,424430.247024,83,9985,0,0,0,0,0,0,9.839291,9.897422
150,424430.257038,97,10013,0,0,0,0,1,0,9.842293,9.899339
151,424430.267028,87,9990,0,0,0,0,0,0,9.845240,9.901219
152,424430.277029,87,10000,0,0,0,0,0,0,9.848131,9.903065
153,424430.287023,82,9994,0,0,0,0,0,0,9.850968,9.904876
154,424430.297025,84,10001,0,0,0,0,1,0,9.853752,9.906653
155,424430.307026,85,10001,0,0,0,0,1,0,9.856485,9.908397
156,424430.317023,82,9996,0,0,0,0,0,0,9.859166,9.910108
157,424430.327023,82,10000,0,0,0,0,0,0,9.861797,9.911787
158,424430.337023,82,10000,0,0,0,0,0,0,9.864379,9.913435
159,424430.347023,82,9999,0,0,0,0,0,0,9.866913,9.915053
160,424430.357025,84,10002,0,0,0,0,1,0,9.869399,9.916640
161,424430.367039,98,10014,0,0,0,0,1,0,9.871839,9.918197
162,424430.377027,86,9987,0,0,0,0,0,0,9.874233,9.919725
163,424430.387024,83,9997,0,0,0,0,0,0,9.876583,9.921225
164,424430.397025,83,10000,0,0,0,0,0,0,9.878888,9.922697
165,424430.407048,107,10023,0,0,0,0,1,0,9.881151,9.924141
166,424430.417030,88,9981,0,0,0,0,0,0,9.883371,9.925558
167,424430.427025,84,9995,0,0,0,0,0,0,9.885550,9.926949
168,424430.437040,98,10014,0,0,0,0,1,0,9.887688,9.928313
169,424430.447021,80,9981,0,0,0,0,0,0,9.889787,9.929653
170,424430.457027,85,10005,0,0,0,0,1,0,9.891846,9.930967
171,424430.467028,87,10001,0,0,0,0,1,0,9.893866,9.932257
172,424430.477024,82,9995,0,0,0,0,0,0,9.895849,9.933522
173,424430.487022,81,9998,0,0,0,0,0,0,9.897795,9.934764
174,424430.497044,103,10021,0,0,0,0,1,0,9.899704,9.935983
175,424430.507033,92,9988,0,0,0,0,0,0,9.901578,9.937179
176,424430.517024,83,9991,0,0,0,0,0,0,9.903417,9.938353
177,424430.527024,83,10000,0,0,0,0,0,0,9.905221,9.939504
178,424430.537025,84,10000,0,0,0,0,0,0,9.906992,9.940634
179,424430.547025,84,10000,0,0,0,0,0,0,9.908729,9.941744
180,424430.557025,84,9999,0,0,0,0,0,0,9.910434,9.942832
181,424430.567023,82,9998,0,0,0,0,0,0,9.912108,9.943900
182,424430.577027,86,10003,0,0,0,0,1,0,9.913750,9.944948
183,424430.587028,87,10001,0,0,0,0,1,0,9.915361,9.945976
184,424430.597027,86,9998,0,0,0,0,0,0,9.916942,9.946986
185,424430.607023,82,9996,0,0,0,0,0,0,9.918494,9.947976
186,424430.617024,82,10000,0,0,0,0,0,0,9.920017,9.948948
187,424430.627025,84,10001,0,0,0,0,1,0,9.921511,9.949902
188,424430.637043,102,10018,0,0,0,0,1,0,9.922977,9.950838
189,424430.647021,80,9977,0,0,0,0,0,0,9.924416,9.951756
190,424430.657027,86,10006,0,0,0,0,1,0,9.925828,9.952657
191,424430.667025,84,9997,0,0,0,0,0,0,9.927214,9.953542
192,424430.677027,86,10001,0,0,0,0,1,0,9.928574,9.954410
193,424430.687023,82,9995,0,0,0,0,0,0,9.929908,9.955262
194,424430.697029,88,10006,0,0,0,0,1,0,9.931218,9.956097
195,424430.707045,103,10015,0,0,0,0,1,0,9.932503,9.956918
