iter,wake_time_s,wake_jitter_us,period_us,sensor_us,control_us,actuator_us,total_exec_us,overrun_period,overrun_budget,speed,voltage
390,424432.657065,124,10038,0,0,0,0,1,0,9.998293,9.998911
391,424432.667026,85,9960,0,0,0,0,0,0,9.998325,9.998931
392,424432.677025,84,9998,0,0,0,0,0,0,9.998356,9.998951
393,424432.687024,83,9999,0,0,0,0,0,0,9.998387,9.998971
394,424432.697029,88,10005,0,0,0,0,1,0,9.998417,9.998990
395,424432.707044,103,10014,0,0,0,0,1,0,9.998447,9.999009
396,424432.717031,90,9986,0,0,0,0,0,0,9.998476,9.999027
397,424432.727027,86,9996,0,0,0,0,0,0,9.998504,9.999045
398,424432.737025,84,9997,0,0,0,0,0,0,9.998532,9.999063
399,424432.747025,84,9999,0,0,0,0,0,0,9.998560,9.999081
400,424432.757030,89,10005,0,0,0,0,1,0,9.998587,9.999098
401,424432.767024,83,9994,0,0,0,0,0,0,9.998613,9.999115
402,424432.777025,84,10000,0,0,0,0,0,0,9.998639,9.999131
403,424432.787042,100,10016,0,0,0,0,1,0,9.998664,9.999147
404,424432.797043,102,10001,0,0,0,0,1,0,9.998689,9.999163
405,424432.807030,89,9986,0,0,0,0,0,0,9.998714,9.999179
406,424432.817048,107,10017,0,0,0,0,1,0,9.998738,9.999194
407,424432.827029,87,9980,0,0,0,0,0,0,9.998761,9.999209
408,424432.837028,87,9999,0,0,0,0,0,0,9.998784,9.999224
409,424432.847049,108,10021,0,0,0,0,1,0,9.998807,9.999239
410,424432.857024,82,9974,0,0,0,0,0,0,9.998829,9.999253
411,424432.867042,101,10018,0,0,0,0,1,0,9.998851,9.999267
412,424432.877028,87,9986,0,0,0,0,0,0,9.998873,9.999281
413,424432.887028,87,9999,0,0,0,0,0,0,9.998894,9.999294
414,424432.897028,87,10000,0,0,0,0,0,0,9.998915,9.999307
415,424432.907024,83,9995,0,0,0,0,0,0,9.998935,9.999320
416,424432.917024,83,10000,0,0,0,0,0,0,9.998955,9.999333
417,424432.927025,84,10000,0,0,0,0,0,0,9.998974,9.999345
418,424432.937027,86,10001,0,0,0,0,1,0,9.998993,9.999358
419,424432.947024,83,9997,0,0,0,0,0,0,9.999012,9.999370
420,424432.957026,85,10002,0,0,0,0,1,0,9.999031,9.999381
421,424432.967027,86,10001,0,0,0,0,1,0,9.999049,9.999393
422,424432.977042,101,10014,0,0,0,0,1,0,9.999067,9.999404
423,424432.987024,83,9982,0,0,0,0,0,0,9.999084,9.999415
424,424432.997028,86,10003,0,0,0,0,1,0,9.999101,9.999426
425,424433.007027,86,10000,0,0,0,0,0,0,9.999118,9.999437
426,424433.017028,87,10000,0,0,0,0,0,0,9.999134,9.999447
427,424433.027028,87,10000,0,0,0,0,0,0,9.999151,9.999458
428,424433.037026,85,9997,0,0,0,0,0,0,9.999166,9.999468
429,424433.047027,85,10000,0,0,0,0,0,0,9.999182,9.999478
430,424433.057029,88,10002,0,0,0,0,1,0,9.999197,9.999488
431,424433.067025,84,9996,0,0,0,0,0,0,9.999212,9.999497
432,424433.077024,83,9998,0,0,0,0,0,0,9.999227,9.999507
433,424433.087026,85,10001,0,0,0,0,1,0,9.999241,9.999516
434,424433.097028,87,10002,0,0,0,0,1,0,9.999256,9.999525
435,424433.107043,102,10015,0,0,0,0,1,0,9.999270,9.999534
436,424433.117024,83,9980,0,0,0,0,0,0,9.999283,9.999542
437,424433.127024,83,9999,0,0,0,0,0,0,9.999297,9.999551
438,424433.137044,103,10019,0,0,0,0,1,0,9.999310,9.999559
439,424433.147032,91,9988,0,0,0,0,0,0,9.999323,9.999568
440,424433.157025,84,9993,0,0,0,0,0,0,9.999335,9.999576
441,424433.167024,83,9999,0,0,0,0,0,0,9.999348,9.999584
442,424433.177025,84,10001,0,0,0,0,1,0,9.999360,9.999591
443,424433.187023,82,9998,0,0,0,0,0,0,9.999372,9.999599
444,424433.197044,103,10020,0,0,0,0,1,0,9.999384,9.999607
445,424433.207042,100,9997,0,0,0,0,0,0,9.999395,9.999614
446,424433.217033,92,9991,0,0,0,0,0,0,9.999406,9.999621
447,424433.227028,87,9994,0,0,0,0,0,0,9.999417,9.999628
448,424433.237026,85,9998,0,0,0,0,0,0,9.999428,9.999635
449,424433.247047,106,10020,0,0,0,0,1,0,9.999439,9.999642
450,424433.257028,86,9980,0,0,0,0,0,0,9.999449,9.999649
451,424433.267027,86,9999,0,0,0,0,0,0,9.999460,9.999655
452,424433.277026,84,9998,0,0,0,0,0,0,9.999470,9.999662
453,424433.287026,85,10000,0,0,0,0,0,0,9.999480,9.999668
454,424433.297046,104,10019,0,0,0,0,1,0,9.999489,9.999674
455,424433.307027,86,9981,0,0,0,0,0,0,9.999499,9.999680
456,424433.317024,83,9997,0,0,0,0,0,0,9.999508,9.999686
457,424433.327025,84,10000,0,0,0,0,0,0,9.999518,9.999692
458,424433.337027,86,10002,0,0,0,0,1,0,9.999527,9.999698
459,424433.347024,83,9997,0,0,0,0,0,0,9.999535,9.999703
460,424433.357027,86,10002,0,0,0,0,1,0,9.999544,9.999709
461,424433.367038,97,10011,0,0,0,0,1,0,9.999553,9.999714
462,424433.377045,104,10007,0,0,0,0,1,0,9.999561,9.999720
463,424433.387034,93,9988,0,0,0,0,0,0,9.999569,9.999725
464,424433.397061,120,10026,0,0,0,0,1,0,9.999577,9.999730
465,424433.407049,108,9988,0,0,0,0,0,0,9.999585,9.999735
466,424433.417026,85,9977,0,0,0,0,0,0,9.999593,9.999740
467,424433.427044,103,10017,0,0,0,0,1,0,9.999600,9.999745
468,424433.437027,86,9983,0,0,0,0,0,0,9.999608,9.999750
469,424433.447027,86,10000,0,0,0,0,0,0,9.999615,9.999754
470,424433.457045,104,10018,0,0,0,0,1,0,9.999622,9.999759
471,424433.467022,81,9976,0,0,0,0,0,0,9.999630,9.999764
472,424433.477033,92,10010,0,0,0,0,1,0,9.999636,9.999768
473,424433.487026,85,9993,0,0,0,0,0,0,9.999643,9.999772
474,424433.497025,84,9999,0,0,0,0,0,0,9.999650,9.999777
475,424433.507024,83,9998,0,0,0,0,0,0,9.999656,9.999781
476,424433.517027,86,10003,0,0,0,0,1,0,9.999663,9.999785
477,424433.527026,85,9998,0,0,0,0,0,0,9.999669,9.999789
478,424433.537027,86,10001,0,0,0,0,1,0,9.999675,9.999793
479,424433.547024,83,9996,0,0,0,0,0,0,9.999681,9.999797
480,424433.557025,84,10001,0,0,0,0,1,0,9.999687,9.999800
481,424433.567024,83,9999,0,0,0,0,0,0,9.999693,9.999804
482,424433.577026,85,10001,0,0,0,0,1,0,9.999699,9.999808
483,424433.587029,88,10002,0,0,0,0,1,0,9.999705,9.999811
484,424433.597025,84,9995,0,0,0,0,0,0,9.999710,9.999815
485,424433.607024,83,9999,0,0,0,0,0,0,9.999715,9.999818
486,424433.617026,85,10001,0,0,0,0,1,0,9.999721,9.999822
487,424433.627026,85,10000,0,0,0,0,0,0,9.999726,9.999825
488,424433.637024,83,9998,0,0,0,0,0,0,9.999731,9.999828
489,424433.647025,84,10000,0,0,0,0,0,0,9.999736,9.999832
490,424433.657024,83,9999,0,0,0,0,0,0,9.999741,9.999835
491,424433.667025,84,10000,0,0,0,0,0,0,9.999746,9.999838
492,424433.677021,80,9996,0,0,0,0,0,0,9.999751,9.999841
493,424433.687027,86,10006,0,0,0,0,1,0,9.999755,9.999844
494,424433.697023,82,9996,0,0,0,0,0,0,9.999760,9.999847
495,424433.707058,117,10034,0,0,0,0,1,0,9.999764,9.999850
496,424433.717031,90,9972,0,0,0,0,0,0,9.999769,9.999852
497,424433.727028,87,9997,0,0,0,0,0,0,9.999773,9.999855
498,424433.737025,84,9996,0,0,0,0,0,0,9.999777,9.999858
499,424433.747026,85,10001,0,0,0,0,1,0,9.999782,9.999861
